,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,041830,인바디,"16,400","-50","-0.3","16,450","16,600","16,250","60,668","995,695,000","224,414,024,800","0.08","13,683,782"
,041910,에스텍파마,"13,150","200","1.5","12,750","13,700","12,700","1,525,768","20,278,433,600","156,462,158,450","0.05","11,898,263"
,041920,메디아나,"20,350","-950","-4.5","21,350","21,500","20,000","364,173","7,492,555,600","176,037,593,600","0.06","8,650,496"
,041930,동아화성,"8,440","-250","-2.9","8,600","8,800","8,270","1,127,403","9,634,047,100","133,352,000,000","0.05","15,800,000"
,041960,코미팜,"17,900","700","4.1","17,000","17,950","16,700","1,461,453","25,487,255,300","1,148,927,180,400","0.39","64,185,876"
,042000,카페24,"53,000","-1,600","-2.9","54,500","54,600","52,300","139,430","7,427,558,100","499,821,641,000","0.17","9,430,597"
,042040,케이피엠테크,"1,070","-20","-1.8","1,080","1,130","1,050","5,264,703","5,747,503,800","114,762,942,020","0.04","107,255,086"
,042110,에스씨디,"1,270","65","5.4","1,200","1,300","1,180","2,143,558","2,695,663,185","61,378,546,280","0.02","48,329,564"
,042370,비츠로테크,"6,670","-80","-1.2","6,650","6,870","6,610","171,492","1,152,285,080","149,100,332,910","0.05","22,353,873"
,042420,네오위즈홀딩스,"15,350","-50","-0.3","15,250","15,600","14,950","30,327","463,470,950","135,952,893,100","0.05","8,856,866"
,042500,링네트,"4,850","-90","-1.8","4,940","4,950","4,800","238,682","1,164,023,595","73,801,858,300","0.03","15,216,878"
,042510,라온시큐어,"3,635","-175","-4.6","3,730","3,775","3,610","1,133,301","4,153,492,405","115,627,939,620","0.04","31,809,612"
,042520,한스바이오메드,"20,600","-150","-0.7","20,750","21,400","20,400","135,825","2,826,226,350","205,934,492,000","0.07","9,996,820"
,042600,새로닉스,"3,625","-70","-1.9","3,690","3,710","3,570","60,512","220,166,405","45,035,455,750","0.02","12,423,574"
,042940,상지카일룸,"1,500","40","2.7","1,460","1,525","1,435","603,474","893,094,935","78,206,152,500","0.03","52,137,435"
,043090,큐브앤컴퍼니,"3,180","-215","-6.3","3,300","3,375","3,180","667,074","2,180,324,285","100,052,724,780","0.03","31,463,121"
,043100,솔고바이오,"392","0","0.0","0","0","0","0","0","22,641,609,536","0.01","57,759,208"
,043150,바텍,"20,400","-100","-0.5","20,300","20,650","20,200","72,843","1,482,813,000","303,026,822,400","0.10","14,854,256"
,043200,파루,"2,570","100","4.0","2,470","2,645","2,470","5,147,813","13,193,688,750","99,218,481,410","0.03","38,606,413"
,043220,에이치엘비파워,"1,190","-20","-1.6","1,210","1,220","1,155","935,181","1,113,989,690","108,427,298,630","0.04","91,115,377"
,043260,성호전자,"699","-19","-2.6","718","718","672","214,606","149,512,563","24,883,032,057","0.01","35,598,043"
