Date,Adj Close,name,code,dollar,Dubai,Brent,Oman,WTI
2020-06-16,137500.0,현대건설우,000725,1210.8,40.29,40.96,40.27,38.38
2020-06-17,144500.0,현대건설우,000725,1206.6,41.46,40.71,41.5,37.96
2020-06-18,161000.0,현대건설우,000725,1214.5,41.09,41.51,41.14,38.84
2020-06-19,209000.0,현대건설우,000725,1213.0,42.95,42.19,42.96,39.75
2020-06-22,271500.0,현대건설우,000725,1212.0,42.32,43.08,42.32,40.46
2020-06-23,352500.0,현대건설우,000725,1213.2,43.39,42.63,43.38,40.37
2020-06-24,458000.0,현대건설우,000725,1210.1,42.49,40.31,42.49,38.01
2020-06-25,458000.0,현대건설우,000725,1202.9,40.58,41.05,40.58,38.72
2020-06-26,321000.0,현대건설우,000725,1205.2,42.02,41.02,42.02,38.49
2020-06-29,254500.0,현대건설우,000725,1198.6,40.63,41.71,40.64,39.7
2020-06-30,233000.0,현대건설우,000725,1200.7,42.07,41.15,42.12,39.27
2020-07-01,221000.0,현대건설우,000725,1198.5,42.7,42.03,42.73,39.82
2020-07-02,228500.0,현대건설우,000725,1201.6,42.85,43.14,42.84,40.65
2020-07-06,244000.0,현대건설우,000725,1200.4,43.66,43.1,43.72,40.63
2020-07-07,238000.0,현대건설우,000725,1196.8,42.9,43.08,43.08,40.62
2020-07-08,309000.0,현대건설우,000725,1192.9,43.34,43.29,43.55,40.9
2020-07-09,251500.0,현대건설우,000725,1195.8,43.63,42.35,43.73,39.62
2020-07-10,233500.0,현대건설우,000725,1194.5,43.63,42.35,43.73,39.62
2020-07-13,227000.0,현대건설우,000725,1202.4,43.38,42.72,43.45,40.1
2020-07-14,225000.0,현대건설우,000725,1200.3,42.78,42.9,42.91,40.29
2020-07-15,222500.0,현대건설우,000725,1206.4,44.18,43.79,44.17,41.2
2020-07-16,219000.0,현대건설우,000725,1200.7,43.37,43.37,43.63,40.75
2020-07-17,222000.0,현대건설우,000725,1204.1,42.86,43.14,43.16,40.59
2020-07-20,244500.0,현대건설우,000725,1205.7,42.72,43.28,42.87,40.81
2020-07-21,246000.0,현대건설우,000725,1203.7,43.87,44.32,44.02,41.96
2020-07-22,265000.0,현대건설우,000725,1198.1,44.12,44.29,44.31,41.9
2020-02-14,2375.0,유니온머티리얼,047400,1181.5,55.23,57.32,55.73,52.05
2020-02-18,2320.0,유니온머티리얼,047400,1182.2,55.11,57.75,55.56,52.05
2020-02-19,2380.0,유니온머티리얼,047400,1188.1,56.39,59.12,56.87,53.29
2020-02-20,2335.0,유니온머티리얼,047400,1190.8,56.92,59.31,57.52,53.78
2020-02-21,2280.0,유니온머티리얼,047400,1197.0,56.41,58.5,57.3,53.38
2020-02-24,2045.0,유니온머티리얼,047400,1205.6,54.64,56.3,55.16,51.43
2020-02-25,2165.0,유니온머티리얼,047400,1217.7,54.48,54.95,55.07,49.9
2020-02-26,2200.0,유니온머티리얼,047400,1212.7,52.28,53.43,52.52,48.73
2020-02-27,2170.0,유니온머티리얼,047400,1216.8,50.62,52.18,50.99,47.09
2020-02-28,2060.0,유니온머티리얼,047400,1215.9,49.05,50.52,49.25,44.76
2020-03-02,2095.0,유니온머티리얼,047400,1215.3,50.58,51.9,50.87,46.75
2020-03-03,2155.0,유니온머티리얼,047400,1200.3,51.72,51.86,51.91,47.18
2020-03-04,2180.0,유니온머티리얼,047400,1191.4,50.81,51.13,51.11,46.78
2020-03-05,2265.0,유니온머티리얼,047400,1186.4,50.78,49.99,50.93,45.9
2020-03-06,2195.0,유니온머티리얼,047400,1185.0,48.58,45.27,48.87,41.28
2020-03-09,2195.0,유니온머티리얼,047400,1191.4,32.87,34.36,33.16,31.13
2020-03-10,2050.0,유니온머티리얼,047400,1201.4,34.18,37.22,34.22,34.36
2020-03-11,1910.0,유니온머티리얼,047400,1196.7,34.58,35.79,34.78,32.98
2020-03-12,1910.0,유니온머티리얼,047400,1192.8,32.69,33.22,32.96,31.5
2020-03-13,1575.0,유니온머티리얼,047400,1202.0,33.93,33.85,34.06,31.73
2020-03-16,1450.0,유니온머티리얼,047400,1222.2,31.49,30.05,31.48,28.7
2020-03-17,1375.0,유니온머티리얼,047400,1219.6,30.83,28.73,30.97,26.95
2020-03-18,1320.0,유니온머티리얼,047400,1241.2,28.26,24.88,28.71,20.37
2020-03-19,994.0,유니온머티리얼,047400,1237.8,25.82,28.47,27.76,25.22
2020-03-20,1050.0,유니온머티리얼,047400,1280.1,28.67,26.98,29.41,22.43
2020-03-23,981.0,유니온머티리얼,047400,1254.1,24.6,27.03,25.34,23.36
2020-03-24,1080.0,유니온머티리얼,047400,1274.6,26.64,27.15,27.02,24.01
2020-03-25,1235.0,유니온머티리얼,047400,1256.0,27.05,27.39,27.32,24.49
2020-03-26,1300.0,유니온머티리얼,047400,1230.7,25.74,26.34,25.74,22.6
2020-03-27,1300.0,유니온머티리얼,047400,1227.9,25.04,24.93,25.08,21.51
2020-03-30,1295.0,유니온머티리얼,047400,1212.4,23.24,22.76,23.25,20.09
2020-03-31,1500.0,유니온머티리얼,047400,1222.6,23.43,22.74,23.43,20.48
2020-04-01,1490.0,유니온머티리얼,047400,1220.0,21.23,24.74,21.41,20.31
2020-04-02,1480.0,유니온머티리얼,047400,1222.2,21.55,29.94,21.57,25.32
2020-04-03,1470.0,유니온머티리얼,047400,1237.6,24.51,34.11,24.53,28.34
2020-04-06,1540.0,유니온머티리얼,047400,1229.8,24.87,33.05,24.86,26.08
2020-04-07,1580.0,유니온머티리얼,047400,1233.4,24.88,31.87,24.88,23.63
2020-04-08,1620.0,유니온머티리얼,047400,1222.4,23.52,32.84,23.55,25.09
2020-04-09,1675.0,유니온머티리얼,047400,1219.7,23.32,31.48,23.32,22.76
2020-04-13,1595.0,유니온머티리얼,047400,1212.3,22.31,31.74,22.3,22.41
2020-04-14,1660.0,유니온머티리얼,047400,1218.7,21.66,29.6,21.67,20.11
2020-04-16,1740.0,유니온머티리얼,047400,1216.7,19.72,27.82,19.83,19.87
2020-04-17,1775.0,유니온머티리얼,047400,1227.5,20.61,28.08,20.81,18.27
2020-04-20,1760.0,유니온머티리얼,047400,1219.3,20.78,25.57,20.88,-37.63
2020-04-21,1715.0,유니온머티리얼,047400,1218.7,17.37,19.33,17.36,10.01
2020-04-22,1765.0,유니온머티리얼,047400,1231.3,13.52,20.37,13.52,13.78
2020-04-23,1795.0,유니온머티리얼,047400,1235.2,18.13,21.33,18.14,16.5
2020-04-24,1785.0,유니온머티리얼,047400,1232.0,18.17,21.44,18.18,16.94
2020-04-27,1830.0,유니온머티리얼,047400,1235.8,17.97,19.99,17.96,12.78
