,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,039830,오로라,"9,180","-10","-0.1","9,240","9,250","9,130","35,269","323,812,460","98,803,330,200","0.03","10,762,890"
,039840,디오,"26,600","50","0.2","26,450","26,900","26,250","102,899","2,739,385,650","412,927,813,200","0.14","15,523,602"
,039860,나노엔텍,"10,650","200","1.9","11,100","11,300","10,500","3,455,428","37,776,216,800","285,025,172,550","0.10","26,762,927"
,039980,리노스,"1,225","0","0.0","1,225","1,235","1,210","243,318","297,327,405","50,887,242,350","0.02","41,540,606"
,040160,누리텔레콤,"7,030","-30","-0.4","7,060","7,150","6,980","94,069","663,306,760","84,750,411,050","0.03","12,055,535"
,040300,YTN,"2,200","130","6.3","2,070","2,200","2,070","279,898","600,305,130","92,400,000,000","0.03","42,000,000"
,040350,큐로컴,"2,180","-30","-1.4","2,190","2,210","2,160","642,241","1,396,605,020","247,992,529,380","0.08","113,758,041"
,040420,정상제이엘에스,"5,900","10","0.2","5,860","5,910","5,850","11,441","67,293,910","92,497,556,800","0.03","15,677,552"
,040610,SG&G,"1,470","-50","-3.3","1,505","1,530","1,465","739,443","1,100,140,555","50,108,178,120","0.02","34,087,196"
,040910,아이씨디,"15,700","-450","-2.8","16,100","16,150","15,650","452,496","7,161,661,100","279,502,311,500","0.09","17,802,695"
,041020,인프라웨어,"1,585","5","0.3","1,615","1,615","1,550","109,987","173,423,630","59,379,108,600","0.02","37,463,160"
,041140,넥슨지티,"12,350","-250","-2.0","12,600","12,650","12,250","498,951","6,161,396,200","436,860,526,700","0.15","35,373,322"
,041190,우리기술투자,"2,655","50","1.9","2,610","2,685","2,610","761,390","2,023,549,960","223,020,000,000","0.08","84,000,000"
,041440,에버다임,"3,600","10","0.3","3,565","3,600","3,565","8,209","29,372,845","64,497,398,400","0.02","17,915,944"
,041460,한국전자인증,"6,110","-130","-2.1","6,230","6,230","6,110","373,971","2,298,321,510","131,116,011,390","0.04","21,459,249"
,041510,에스엠,"31,000","-1,750","-5.3","32,550","32,550","30,750","1,189,021","37,259,506,200","726,934,531,000","0.25","23,449,501"
,041520,이라이콤,"6,100","-110","-1.8","6,160","6,290","6,090","70,168","431,021,710","74,351,253,000","0.03","12,188,730"
,041590,젬백스지오,"790","-23","-2.8","801","802","771","464,904","364,314,759","61,166,717,750","0.02","77,426,225"
,041830,인바디,"16,650","-50","-0.3","16,700","17,000","16,600","98,791","1,661,638,050","227,834,970,300","0.08","13,683,782"
,041910,에스텍파마,"12,400","-100","-0.8","12,650","12,700","12,050","382,039","4,722,950,600","147,538,461,200","0.05","11,898,263"
,041920,메디아나,"20,750","200","1.0","20,200","21,100","20,150","269,304","5,565,723,900","179,497,792,000","0.06","8,650,496"
,041930,동아화성,"9,110","-50","-0.6","9,090","9,610","8,930","3,474,610","32,289,085,240","143,938,000,000","0.05","15,800,000"
,041960,코미팜,"16,850","-50","-0.3","17,250","17,350","16,500","778,473","13,134,809,000","1,081,532,010,600","0.37","64,185,876"
,042000,카페24,"55,200","-200","-0.4","55,500","55,900","54,400","97,045","5,333,272,200","520,568,954,400","0.18","9,430,597"
,042040,케이피엠테크,"1,070","-45","-4.0","1,100","1,125","1,065","4,052,556","4,395,781,385","114,672,874,770","0.04","107,170,911"
,042110,에스씨디,"1,190","15","1.3","1,175","1,315","1,150","3,965,594","4,907,910,325","57,512,181,160","0.02","48,329,564"
,042370,비츠로테크,"6,970","150","2.2","6,820","7,050","6,810","433,183","3,019,678,440","155,806,494,810","0.05","22,353,873"
,042420,네오위즈홀딩스,"15,700","-200","-1.3","15,950","15,950","15,500","15,594","244,089,250","139,052,796,200","0.05","8,856,866"
,042500,링네트,"5,010","0","0.0","4,985","5,080","4,905","246,339","1,228,063,835","76,236,558,780","0.03","15,216,878"
,042510,라온시큐어,"3,860","-85","-2.2","3,855","3,910","3,805","1,068,728","4,110,319,970","122,785,102,320","0.04","31,809,612"
,042520,한스바이오메드,"21,000","-100","-0.5","21,100","21,400","20,850","66,221","1,390,652,700","209,933,220,000","0.07","9,996,820"
,042600,새로닉스,"3,855","170","4.6","3,725","4,100","3,635","284,211","1,105,370,950","47,892,877,770","0.02","12,423,574"
,042940,상지카일룸,"1,490","-50","-3.2","1,535","1,540","1,470","841,798","1,259,690,140","68,600,854,580","0.02","46,040,842"
,043090,큐브앤컴퍼니,"3,595","-155","-4.1","3,655","3,690","3,495","915,124","3,293,079,320","113,109,919,995","0.04","31,463,121"
,043100,솔고바이오,"392","0","0.0","0","0","0","0","0","22,641,609,536","0.01","57,759,208"
,043150,바텍,"20,500","100","0.5","20,350","20,700","20,350","56,351","1,155,139,900","304,512,248,000","0.10","14,854,256"
,043200,파루,"2,510","-35","-1.4","2,530","2,535","2,480","932,764","2,332,144,730","96,902,096,630","0.03","38,606,413"
,043220,에이치엘비파워,"1,230","-25","-2.0","1,255","1,260","1,230","684,401","848,600,590","112,071,913,710","0.04","91,115,377"
,043260,성호전자,"734","-6","-0.8","740","757","710","246,528","183,038,407","26,128,963,562","0.01","35,598,043"
,043290,케이맥,"1,645","20","1.2","1,625","1,660","1,595","491,769","799,751,290","61,130,323,695","0.02","37,161,291"
,043340,에쎈테크,"1,245","-55","-4.2","1,305","1,310","1,245","518,643","659,716,550","89,640,000,000","0.03","72,000,000"
,043360,디지아이,"2,485","35","1.4","2,490","2,495","2,415","301,566","740,164,545","22,365,000,000","0.01","9,000,000"
,043370,평화정공,"6,540","-10","-0.2","6,550","6,610","6,460","76,314","498,082,140","137,340,000,000","0.05","21,000,000"
,043590,크로바하이텍,"1,490","0","0.0","0","0","0","0","0","34,717,000,000","0.01","23,300,000"
,043610,지니뮤직,"3,550","-55","-1.5","3,590","3,610","3,530","328,576","1,169,125,260","206,309,804,900","0.07","58,115,438"
,043650,국순당,"3,825","30","0.8","3,760","3,830","3,740","49,434","187,644,025","68,308,012,800","0.02","17,858,304"
,043710,서울리거,"1,140","-15","-1.3","1,175","1,175","1,135","51,358","58,977,790","39,790,163,280","0.01","34,903,652"
,043910,자연과환경,"1,575","-20","-1.2","1,630","1,640","1,575","3,075,471","4,925,747,360","83,710,237,275","0.03","53,149,357"
,044060,조광ILI,"6,350","200","3.2","6,200","6,810","6,200","373,560","2,411,466,070","62,773,915,600","0.02","9,885,656"
,044180,KD,"495","0","0.0","0","0","0","0","0","38,784,885,480","0.01","78,353,304"
,044340,위닉스,"19,850","100","0.5","19,900","19,950","19,400","147,779","2,905,947,850","354,787,486,250","0.12","17,873,425"
,044480,경남바이오파마,"5,450","-30","-0.6","5,490","5,560","5,380","193,833","1,057,053,490","77,670,724,050","0.03","14,251,509"
,044490,태웅,"12,950","2,300","21.6","10,700","13,500","10,500","9,624,351","118,896,800,600","259,095,583,950","0.09","20,007,381"
,044780,에이치케이,"1,290","-25","-1.9","1,310","1,315","1,275","113,834","147,053,195","23,872,465,230","0.01","18,505,787"
,044960,이글벳,"8,310","130","1.6","8,220","8,310","8,080","627,314","5,137,182,410","105,054,047,730","0.04","12,641,883"
,045060,오공,"5,180","-10","-0.2","5,220","5,260","5,170","315,529","1,642,726,940","87,759,425,320","0.03","16,941,974"
,045100,한양이엔지,"10,100","-100","-1.0","10,150","10,200","9,990","171,591","1,724,064,530","181,800,000,000","0.06","18,000,000"
